type,project_id,project_name,id,label,amount,amount_ex_vat,vat_rate,percent,due_date,actual_date,milestone_id,created_at,contract_value,contract_signed_date,expenses,expected_profit,max_materials_expense,max_man_hr_expense,milestone_kind,milestone_note,month,status,opening_cash,opening_cash_as_of,min_working_capital,prob_cold_lead,prob_hot_lead,prob_under_development,prob_commissioned,fixed_monthly,category,subcategory,warehouse_lot_id,warehouse_item_id,qty,is_maintenance,event_id,intentional,actor_user_id,actor_name,action,field,old_value,new_value,summary,occurred_at,entity_type,entity_id
company,,,,,,,,,,,,,,,,,,,,,,,630000,2026-07,200000,10,40,100,100,,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2026-08,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2026-09,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2026-10,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2026-11,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2026-12,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2027-01,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2027-02,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2027-03,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2027-04,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2027-05,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2027-06,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2027-07,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2027-08,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2027-09,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2027-10,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2027-11,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2027-12,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2028-01,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2028-02,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2028-03,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2028-04,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2028-05,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2028-06,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2028-07,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2028-08,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2028-09,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2028-10,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2028-11,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2028-12,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2029-01,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2029-02,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2029-03,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2029-04,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2029-05,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2029-06,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2029-07,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2029-08,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2029-09,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
company_opex,,,,,220000,,,,,,,,,,,,,,,,2029-10,projected,,,,,,,,220000,,,,,,,,,,,,,,,,,,
project,9cdc40c6-77b8-4bf4-8610-83e21cfd85e7,BA Glass Sofia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project,28bd60c4-becc-4311-a9db-62917590546d,Royal Cement Line 1 in Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project,b2fd32ac-9d24-4ac4-8092-a5a106618c96,Ceramika PARADYŻ from Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project,ffa5c116-6ce2-4653-9508-1da0bb910a53,Titan Zlatna Panega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
