__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DT_CHANGED,SKLAD,GRUPA,STOKA,SER_NO,ID,SER_NOTE,PROPS,WARRANTY,KOLICH,KOLICH2,MIN_KOLICH,MAX_KOLICH,TMP_KOLICH,TMP_KOLICH2,VALUTA_KUP,VALUTA_PROD_ED,VALUTA_PROD_DR,CENA_KUP,CENA_PROD_ED1,CENA_PROD_DR1,PROCES_ID,IN_USE,KOLICH_LOCKED,KOLICH_LOCKED2,DATA_CHANGED,KOLICH_CHANGED
1750,1,1,1320962477,Склад,Машини,Винтоверт Makita DHP482,491544R,6694873696768622593,,|1—Винтоверт|3—Makita|4—DHP482|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.394,2026-02-16 12:40:58.687
1750,3,1,1320962477,Склад,Машини,Винтоверт Makita DDf458,0395523Y,6694873696768622594,,|1—Винтоверт|3—Makita|4—DDf458|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.394,2026-02-16 12:40:58.705
1750,5,1,1320962477,Склад,Машини,Винтоверт Makita DDF482,725801R,6694873696768622595,,|1—Винтоверт|3—Makita|4—DDF482|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.410,2026-02-16 12:40:58.723
1750,7,1,1320962477,Склад,Машини,Гайковерт Makita DTW285,0503327Y,6694873696768622596,,|1—Гайковерт|3—Makita|4—DTW285|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.410,2026-02-16 12:40:58.638
1750,9,1,1320962477,Склад,Машини,Перфоратор Makita DHR241,0503327Y,6694873696768622597,,|1—Перфоратор|3—Makita|4—DHR241|5—хале|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.410,2026-02-16 12:40:58.251
1750,11,1,1320962477,Склад,Машини,Флекс Bosch GWS750,124088157,6694873696768622598,,|1—Флекс|3—Bosch|4—GWS750|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.410,2026-02-16 12:40:58.142
1750,13,1,1320962477,Склад,Машини,Оберфреза Makita RP0900,587575,6694873696768622599,,|1—Оберфреза|3—Makita|4—RP0900|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.426,2026-02-16 12:40:58.287
1750,15,1,1320962477,Склад,Машини,Флекс Bosch GWS2200,327029927,6694873696768622600,,|1—Флекс|3—Bosch|4—GWS2200|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.426,2026-02-16 12:40:58.159
1750,17,1,1320962477,Склад,Машини,Флекс Bosch GWS9-125S,911061887,6694873696768622601,,|1—Флекс|3—Bosch|4—GWS9-125S|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.426,2026-02-16 12:40:58.123
1750,19,1,1320962477,Склад,Машини,Флекс Bosch GWS17-125S,323001071,6694873696768622602,,|1—Флекс|3—Bosch|4—GWS17-125S|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.441,2026-02-16 12:40:58.177
1750,21,1,1320962477,Склад,Машини,Флекс Bosch GWS9-125S 0,123061469,6694873696768622603,,|1—Флекс|3—Bosch|4—GWS9-125S|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.441,2026-02-16 12:40:58.104
1750,23,1,1320962477,Склад,Машини,Циркуляр Metabo KGS305M,19305000,6694873696768622604,,|1—Циркуляр|3—Metabo|4—KGS305M|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.441,2026-02-16 12:40:58.056
1750,25,1,1320962477,Склад,Машини,Ексцентършлайф Bosch GEX 125-1 AE,327001725,6694873696768622605,,|1—Ексцентършлайф|3—Bosch|4—GEX 125-1 AE|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.457,2026-02-16 12:40:58.602
1750,27,1,1320962477,Склад,Машини,Машина за полиране Bosch GPO14CE,328055617,6694873696768622606,,|1—Машина за полиране|3—Bosch|4—GPO14CE|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.457,2026-02-16 12:40:58.386
1750,29,1,1320962477,Склад,Машини,Машина за заостряне на волфрамови електроди Delt,SN2021010,6694873696768622607,,|1—Машина за заостряне на волфрамови електроди|3—Deltech|4—RDD-M02|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.457,2026-02-16 12:40:58.403
1756,0,1,1320962477,Склад,Машини,Пневматичен винтоверт Raider RD-AD02,80103,6694873696768622608,,|1—Пневматичен винтоверт|3—Raider|4—RD-AD02|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.472,2026-02-16 12:40:58.196
1756,2,1,1320962477,Склад,Машини,Пистолет за топъл въздух Daewoo DAHG 2000,DHG0650PRBUL2106,6694873696768622609,,|1—Пистолет за топъл въздух|3—Daewoo|4—DAHG 2000|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.472,2026-02-16 12:40:58.233
1756,4,1,1320962477,Склад,Машини,Лазерен нивелир Bosch Quingo Plus,324032899,6694873696768622610,,|1—Лазерен нивелир|3—Bosch|4—Quingo Plus|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.472,2026-02-16 12:40:58.475
1756,6,1,1320962477,Склад,Машини,Перфоратор Bosch GBH 2-24D,3611BA0000,6694873696768622611,,|1—Перфоратор|3—Bosch|4—GBH 2-24D|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.488,2026-02-16 12:40:58.269
1756,8,1,1320962477,Склад,Машини,Бормашина Metabo BEV 1300-2,574000,6694873696768622612,,|1—Бормашина|3—Metabo|4—BEV 1300-2|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.488,2026-02-16 12:40:58.782
1756,10,1,1320962477,Склад,Машини,Лепачка за тръби Total TT328151,24137910792,6694873696768622613,,|1—Лепачка за тръби|3—Total|4—TT328151|5—производствен цех|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.488,2026-02-16 12:40:58.439
1756,12,1,1320962477,Склад,Машини,Импакт Makita DTD152,395879N,6694873696768622614,,|1—Импакт|3—Makita|4—DTD152|5—хале|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.488,2026-02-16 12:40:58.492
1756,14,1,1320962477,Склад,Машини,Бормашина Parkside PSBM1100B1,87202,6694873696768622615,,|1—Бормашина|3—Parkside|4—PSBM1100B1|5—хале|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.504,2026-02-16 12:40:58.764
1756,16,1,1320962477,Склад,Машини,Фреза Makita N5900B,1354710,6694873696768622616,,|1—Фреза|3—Makita|4—N5900B|5—хале|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.504,2026-02-16 12:40:58.073
1756,18,1,1320962477,Склад,Машини,Ампер клещи Uni-t UT230R,C220357502,6694873696768622617,,|1—Ампер клещи|3—Uni-t|4—UT230R|5—хале|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.504,2026-02-16 12:40:58.837
1756,20,1,1320962477,Склад,Машини,Ампер клещи Uni-t UT230R 1,C220357511,6694873696768622618,,|1—Ампер клещи|3—Uni-t|4—UT230R|5—хале|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.519,2026-02-16 12:40:58.819
1756,22,1,1320962477,Склад,Машини,Ампер клещи Uni-t UT230R 2,C220357514,6694873696768622619,,|1—Ампер клещи|3—Uni-t|4—UT230R|5—хале|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.519,2026-02-16 12:40:58.800
1756,24,1,1320962477,Склад,Машини,Ампер клещи Total TMT46003,H12B-G010591,6694873696768622620,,|1—Ампер клещи|3—Total|4—TMT46003|5—хале|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.519,2026-02-16 12:40:58.855
1756,26,1,1320962477,Склад,Машини,Лазерен термометър Infrared DT8016H,210636056,6694873696768622621,,|1—Лазерен термометър|3—Infrared|4—DT8016H|5—хале|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.535,2026-02-16 12:40:58.457
1756,28,1,1320962477,Склад,Машини,Манометър Bauihr 5110,MAN-277,6694873696768622622,,|1—Манометър|3—Bauihr|4—5110|5—хале|,«0000N0000000000,1.0,0.0,0.0,0.0,0.0,0.0,M,L,L,0.0,0.0,0.0,0,,0.0,0.0,2026-03-02 14:59:40.535,2026-02-16 12:40:58.421
