__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,ID,OFFICE_ID,LOG_DATE,LOG_USER,LOG_TIP,LOG_MODUL,LOG_COMP
1664,0,1,1,0,2025-08-06 14:30:51.458,ADMIN,10003,Складове и Стоки,s
1664,1,1,2,0,2025-08-06 14:32:17.609,ADMIN,10003,Складове и Стоки,s
1664,2,1,3,0,2025-08-06 14:32:29.035,ADMIN,10003,Складове и Стоки,s
1664,3,1,4,0,2025-08-06 14:32:34.985,ADMIN,10003,Складове и Стоки,s
1664,4,1,5,0,2025-08-06 14:32:41.401,ADMIN,10003,Складове и Стоки,s
1664,5,1,6,0,2025-08-06 14:32:46.426,ADMIN,10003,Складове и Стоки,s
1664,6,1,7,0,2025-08-06 14:32:51.441,ADMIN,10003,Складове и Стоки,s
1664,7,1,8,0,2025-08-06 14:33:05.927,ADMIN,10003,Складове и Стоки,s
1664,8,1,9,0,2025-08-06 14:33:11.810,ADMIN,10003,Складове и Стоки,s
1664,9,1,10,0,2025-08-06 14:33:17.083,ADMIN,10003,Складове и Стоки,s
1664,10,1,11,0,2025-08-06 14:33:21.956,ADMIN,10003,Складове и Стоки,s
1664,11,1,12,0,2025-08-06 14:33:26.809,ADMIN,10003,Складове и Стоки,s
1664,12,1,13,0,2025-08-06 14:33:32.513,ADMIN,10003,Складове и Стоки,s
1664,13,1,14,0,2025-08-06 14:33:38.466,ADMIN,10003,Складове и Стоки,s
1664,14,1,15,0,2025-08-06 14:33:48.657,ADMIN,10003,Складове и Стоки,s
1664,15,1,16,0,2025-08-06 14:33:53.210,ADMIN,10003,Складове и Стоки,s
1664,16,1,17,0,2025-08-06 14:33:58.111,ADMIN,10003,Складове и Стоки,s
1664,17,1,18,0,2025-08-06 14:34:30.599,ADMIN,10048,Складове и Стоки,s
1664,18,1,19,0,2025-08-06 14:34:42.572,ADMIN,10022,Складове и Стоки,s
1664,19,1,20,0,2025-08-06 14:34:42.579,ADMIN,10022,Складове и Стоки,s
1664,20,1,21,0,2025-08-06 14:34:42.583,ADMIN,10022,Складове и Стоки,s
1664,21,1,22,0,2025-08-06 14:34:42.586,ADMIN,10022,Складове и Стоки,s
1664,22,1,23,0,2025-08-06 14:34:42.589,ADMIN,10022,Складове и Стоки,s
1664,23,1,24,0,2025-08-06 14:34:42.592,ADMIN,10022,Складове и Стоки,s
1664,24,1,25,0,2025-08-06 14:34:42.596,ADMIN,10022,Складове и Стоки,s
1664,25,1,26,0,2025-08-06 14:34:42.600,ADMIN,10022,Складове и Стоки,s
1664,26,1,27,0,2025-08-06 14:34:42.603,ADMIN,10022,Складове и Стоки,s
1664,27,1,28,0,2025-08-06 14:34:42.606,ADMIN,10022,Складове и Стоки,s
1664,28,1,29,0,2025-08-06 14:34:42.609,ADMIN,10022,Складове и Стоки,s
1664,29,1,30,0,2025-08-06 14:34:42.612,ADMIN,10022,Складове и Стоки,s
1664,30,1,31,0,2025-08-06 14:34:42.616,ADMIN,10022,Складове и Стоки,s
1664,31,1,32,0,2025-08-06 14:34:42.619,ADMIN,10022,Складове и Стоки,s
1664,32,1,33,0,2025-08-06 14:34:42.622,ADMIN,10022,Складове и Стоки,s
1664,33,1,34,0,2025-08-06 14:34:42.625,ADMIN,10022,Складове и Стоки,s
1664,34,1,35,0,2025-08-06 14:34:42.629,ADMIN,10022,Складове и Стоки,s
1664,35,1,36,0,2025-08-06 14:34:42.632,ADMIN,10022,Складове и Стоки,s
1664,36,1,37,0,2025-08-06 14:41:32.744,ADMIN,10002,Складове и Стоки,s
1664,37,1,38,0,2025-08-06 14:57:24.313,ADMIN,10039,в 14:57 през “Складове и Стоки”,s
1664,38,1,39,0,2025-08-06 14:57:39.894,ADMIN,10040,в 14:57 през “Складове и Стоки”,s
1664,39,1,40,0,2025-08-06 14:57:56.587,ADMIN,10040,в 14:57 през “Складове и Стоки”,s
1664,40,1,41,0,2025-08-06 14:58:10.260,ADMIN,10040,в 14:58 през “Складове и Стоки”,s
1664,41,1,42,0,2025-08-06 14:58:16.391,ADMIN,10040,в 14:58 през “Складове и Стоки”,s
1664,42,1,43,0,2025-08-06 14:58:30.159,ADMIN,10040,в 14:58 през “Складове и Стоки”,s
1664,43,1,44,0,2025-08-06 14:58:42.454,ADMIN,10040,в 14:58 през “Складове и Стоки”,s
1754,0,1,45,0,2025-08-06 14:58:53.636,ADMIN,10040,в 14:58 през “Складове и Стоки”,s
1754,1,1,46,0,2025-08-06 14:59:10.165,ADMIN,10040,в 14:59 през “Складове и Стоки”,s
1754,2,1,47,0,2025-08-06 14:59:22.277,ADMIN,10040,в 14:59 през “Складове и Стоки”,s
1754,3,1,48,0,2025-08-06 14:59:37.162,ADMIN,10040,в 14:59 през “Складове и Стоки”,s
1754,4,1,49,0,2025-08-06 15:00:03.714,ADMIN,10040,в 15:00 през “Складове и Стоки”,s
1754,5,1,50,0,2025-08-06 15:00:15.212,ADMIN,10040,в 15:00 през “Складове и Стоки”,s
1754,6,1,51,0,2025-08-06 15:00:27.824,ADMIN,10040,в 15:00 през “Складове и Стоки”,s
1754,7,1,52,0,2025-08-06 15:00:38.528,ADMIN,10040,в 15:00 през “Складове и Стоки”,s
1754,8,1,53,0,2025-08-06 15:00:51.417,ADMIN,10040,в 15:00 през “Складове и Стоки”,s
1754,9,1,54,0,2025-08-06 15:01:02.911,ADMIN,10040,в 15:01 през “Складове и Стоки”,s
1754,10,1,55,0,2025-08-06 15:01:14.872,ADMIN,10040,в 15:01 през “Складове и Стоки”,s
1754,11,1,56,0,2025-08-06 15:01:25.523,ADMIN,10040,в 15:01 през “Складове и Стоки”,s
1754,12,1,57,0,2025-08-06 15:01:35.915,ADMIN,10040,в 15:01 през “Складове и Стоки”,s
1754,13,1,58,0,2025-08-06 15:01:49.191,ADMIN,10040,в 15:01 през “Складове и Стоки”,s
1754,14,1,59,0,2025-08-06 15:02:12.815,ADMIN,10040,в 15:02 през “Складове и Стоки”,s
1754,15,1,60,0,2025-08-06 15:02:28.221,ADMIN,10040,в 15:02 през “Складове и Стоки”,s
1754,16,1,61,0,2025-08-06 15:02:38.438,ADMIN,10040,в 15:02 през “Складове и Стоки”,s
1754,17,1,62,0,2025-08-06 15:02:48.718,ADMIN,10040,в 15:02 през “Складове и Стоки”,s
1754,18,1,63,0,2025-08-06 15:03:00.904,ADMIN,10040,в 15:03 през “Складове и Стоки”,s
1754,19,1,64,0,2025-08-06 15:03:20.628,ADMIN,10040,в 15:03 през “Складове и Стоки”,s
1754,20,1,65,0,2025-08-06 15:03:32.086,ADMIN,10040,в 15:03 през “Складове и Стоки”,s
1754,21,1,66,0,2025-08-06 15:03:52.573,ADMIN,10040,в 15:03 през “Складове и Стоки”,s
1754,22,1,67,0,2025-08-06 15:04:09.017,ADMIN,10040,в 15:04 през “Складове и Стоки”,s
1754,23,1,68,0,2025-08-06 15:04:27.908,ADMIN,10040,в 15:04 през “Складове и Стоки”,s
1754,24,1,69,0,2025-08-06 15:05:27.818,ADMIN,10040,в 15:05 през “Складове и Стоки”,s
1754,25,1,70,0,2025-08-06 15:05:40.703,ADMIN,10040,в 15:05 през “Складове и Стоки”,s
1754,26,1,71,0,2025-08-06 15:05:53.178,ADMIN,10040,в 15:05 през “Складове и Стоки”,s
1754,27,1,72,0,2025-08-06 15:06:03.136,ADMIN,10040,в 15:06 през “Складове и Стоки”,s
1754,28,1,73,0,2025-08-06 15:06:39.304,ADMIN,10040,в 15:06 през “Складове и Стоки”,s
1754,29,1,74,0,2025-08-06 15:06:51.711,ADMIN,10040,в 15:06 през “Складове и Стоки”,s
1754,30,1,75,0,2025-08-06 15:07:03.166,ADMIN,10040,в 15:07 през “Складове и Стоки”,s
1754,31,1,76,0,2025-08-06 15:07:24.432,ADMIN,10040,в 15:07 през “Складове и Стоки”,s
1754,32,1,77,0,2025-08-06 15:08:42.991,ADMIN,10049,Складове и Стоки,s
1754,33,1,78,0,2025-08-06 15:08:46.690,ADMIN,10040,в 15:08 през “Начални Наличности”,s
1754,34,1,79,0,2025-08-06 15:11:57.491,ADMIN,10049,Складове и Стоки,s
1754,35,1,80,0,2025-08-06 15:12:00.695,ADMIN,10040,в 15:12 през “Начални Наличности”,s
1754,36,1,81,0,2025-08-06 15:12:17.657,ADMIN,10040,в 15:12 през “Складове и Стоки”,s
1754,37,1,82,0,2025-08-06 15:13:28.386,ADMIN,10049,Складове и Стоки,s
1760,0,1,83,0,2025-08-06 15:13:33.150,ADMIN,10040,в 15:13 през “Начални Наличности”,s
1760,1,1,84,0,2025-08-06 15:14:48.857,ADMIN,10049,Складове и Стоки,s
1760,2,1,85,0,2025-08-06 15:14:55.705,ADMIN,10040,в 15:14 през “Начални Наличности”,s
1760,3,1,86,0,2025-08-06 15:15:22.491,ADMIN,10049,Складове и Стоки,s
1760,4,1,87,0,2025-08-06 15:15:26.560,ADMIN,10040,в 15:15 през “Начални Наличности”,s
1760,5,1,88,0,2025-08-06 15:15:45.616,ADMIN,10049,Складове и Стоки,s
1760,6,1,89,0,2025-08-06 15:15:48.570,ADMIN,10040,в 15:15 през “Начални Наличности”,s
1760,7,1,90,0,2025-08-07 11:15:36.109,ADMIN,10048,Складове и Стоки,server
1760,8,1,91,0,2025-08-07 11:16:02.290,ADMIN,10049,Складове и Стоки,server
1760,9,1,92,0,2025-08-07 11:19:21.612,ADMIN,10039,Технология (AEM-Z-500kW),server
1760,10,1,93,0,2025-08-07 11:19:35.033,ADMIN,10040,Технология (AEM-Z-500kW),server
1760,11,1,94,0,2025-08-07 11:19:48.939,ADMIN,10047,"Картотека Клиенти - фирми и лица, на които прода",server
1760,12,1,95,0,2025-08-07 11:19:52.017,ADMIN,10039,План за Производство,server
1760,13,1,96,0,2025-08-07 11:20:33.529,ADMIN,10040,План за Производство,server
