__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DATETIME,DT_DOC,DT_DOC_2S,DT_CHANGED,KASA,SMETKA,FIRMA,F_CONTACT,USD,DM,LV,S_1,S_2,S_3,S_4,S_5,LV_ZA_USD,LV_ZA_DM,DM_ZA_USD,LV_ZA_1,LV_ZA_2,LV_ZA_3,LV_ZA_4,LV_ZA_5,OWNER,SIGN_BY,PROPS,NOTE,IS_OPEN,IS_2S,CD_H_NUMBER,CD_H_DATE,IO_DATE,IO_DATE2
5253,0,1,2024181,1300333203,1300333203,1300358382,Z,0000000002,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,1,1,13280133,1300657971,1300657971,1300658020,Z,0000000003,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,2,1,5699944,1300838112,1300838112,1300838631,Z,0000000004,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,3,1,49295105,1301045186,1301045186,1301051187,Z,0000000005,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,4,1,45100278,1301333838,1301333838,1301336161,Z,0000000006,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,5,1,36157225,1301443470,1301443470,1301533005,Z,0000000007,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,6,1,50019308,1301534615,1301534615,1301534703,Z,0000000008,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,7,1,43025231,1301635788,1301635788,1301640690,Z,0000000009,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,8,1,41379509,1301739936,1301739936,1301740044,Z,0000000010,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,9,1,39250253,1302038926,1302052540,1302059428,Z,0000000011,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,ADMIN,,,,Y,,,0,0
5253,10,1,45941293,1302153122,1302153122,1302154207,Z,0000000012,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,11,1,38343640,1302242686,1302242686,1302265214,Z,0000000013,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,12,1,36445432,1302341934,1302341934,1302362390,Z,0000000014,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,13,1,35652614,1302433775,1302433775,1302450226,Z,0000000015,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,14,1,33898063,1302753912,1302753912,1302763545,Z,0000000016,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,15,1,35508917,1302933171,1302933171,1302960739,Z,0000000017,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,16,1,43907630,1303051611,1303051611,1303051647,Z,0000000018,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,17,1,38097640,1303135467,1303135467,1303136071,Z,0000000019,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,18,1,36687580,1303534067,1303534067,1303552455,Z,0000000020,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,19,1,34581046,1303638698,1303638698,1303661935,Z,0000000021,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,20,1,42927623,1303736122,1303736122,1304932579,Z,0000000022,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,21,1,46134798,1304934343,1304934343,1304961805,Z,0000000023,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,22,1,34500560,1305143397,1305143397,1305143434,Z,0000000024,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,23,1,46838331,1305238009,1305238009,1305544237,Z,0000000025,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,24,1,46433949,1305634437,1305634437,1305756068,Z,0000000026,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,25,1,42818507,1305836466,1305836466,1305854138,Z,0000000027,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,26,1,46287621,1305934966,1305934966,1305943142,Z,0000000028,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5253,27,1,41552683,1306335249,1306335249,1306338118,Z,0000000029,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,0,1,35456505,1306432944,1306432944,1306461014,Z,0000000030,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,1,1,35412725,1306534918,1306534918,1306633044,Z,0000000031,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,2,1,38191757,1306634068,1306634068,1307129455,Z,0000000032,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,3,1,34912317,1306934950,1306934950,1306960301,Z,0000000033,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,4,1,50300026,1307032550,1307032550,1307051401,Z,0000000034,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,5,1,40113045,1307132177,1307132177,1307151716,Z,0000000035,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,6,1,38962146,1307630064,1307630064,1307635629,Z,0000000036,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,7,1,34654104,1307631562,1307631562,1307658393,Z,0000000037,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,8,1,40930234,1307739570,1307739570,1307745429,Z,0000000038,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,9,1,39090881,1307841153,1307841153,1307850251,Z,0000000039,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,10,1,36366208,1307929826,1307929826,1308055253,Z,0000000040,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,11,1,50139290,1308433821,1308433821,1308434672,Z,0000000041,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,12,1,50302728,1308443838,1308443838,1308553896,Z,0000000042,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,13,1,44612348,1308638641,1308638641,1308732000,Z,0000000043,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,14,1,36515334,1308732561,1308732561,1308734762,Z,0000000044,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,15,1,48744990,1309033607,1309033607,1309129889,Z,0000000045,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,16,1,35740134,1309140016,1309140016,1309140166,Z,0000000046,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,17,1,33607616,1309245595,1309245595,1309245630,Z,0000000047,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,18,1,48764191,1309339704,1309339704,1309360545,Z,0000000048,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,19,1,41471516,1309432034,1309432034,1309455873,Z,0000000049,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,20,1,43165521,1309735099,1309735099,1309735153,Z,0000000050,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,21,1,42344534,1309836536,1309836536,1309861127,Z,0000000051,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,22,1,47418464,1309952651,1309952651,1309952746,Z,0000000052,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,23,1,45750303,1310033301,1310033301,1310033331,Z,0000000053,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,24,1,46050287,1310034503,1310034503,1310044197,Z,0000000054,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
5724,25,1,44706892,1310437717,1310437717,1310534116,Z,0000000055,Склад,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,,,,N,,,0,0
