__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DATETIME,GRUPA,STOKA,SER_NO,KOLICH1,KOLICH12,KOLICH2,KOLICH22,IS_CHECK,ED_CENA,ED_VALUTA,KUP_CENA,KUP_VALUTA,NOTE,STOCK_POSITION
1752,0,1,3157303,Машини,Винтоверт Makita DHP482,491544R,0.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:57 през “Складове и Стоки”,
1752,1,1,3157303,Машини,Винтоверт Makita DHP482,,1.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:57 през “Складове и Стоки”,
1752,2,1,3157303,Машини,Винтоверт Makita DDf458,0395523Y,0.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:57 през “Складове и Стоки”,
1752,3,1,3157303,Машини,Винтоверт Makita DDf458,,1.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:57 през “Складове и Стоки”,
1752,4,1,3157303,Машини,Винтоверт Makita DDF482,725801R,0.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:57 през “Складове и Стоки”,
1752,5,1,3157303,Машини,Винтоверт Makita DDF482,,1.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:57 през “Складове и Стоки”,
1752,6,1,3157303,Машини,Гайковерт Makita DTW285,0503327Y,0.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:58 през “Складове и Стоки”,
1752,7,1,3157303,Машини,Гайковерт Makita DTW285,,1.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:58 през “Складове и Стоки”,
1752,8,1,3157303,Машини,Перфоратор Makita DHR241,0503327Y,0.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:58 през “Складове и Стоки”,
1752,9,1,3157303,Машини,Перфоратор Makita DHR241,,1.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:58 през “Складове и Стоки”,
1752,10,1,3157303,Машини,Флекс Bosch GWS750,124088157,0.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:58 през “Складове и Стоки”,
1752,11,1,3157303,Машини,Флекс Bosch GWS750,,1.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:58 през “Складове и Стоки”,
1752,12,1,3157303,Машини,Оберфреза Makita RP0900,587575,0.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:58 през “Складове и Стоки”,
1752,13,1,3157303,Машини,Оберфреза Makita RP0900,,1.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:58 през “Складове и Стоки”,
1752,14,1,3157303,Машини,Флекс Bosch GWS2200,327029927,0.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:58 през “Складове и Стоки”,
1752,15,1,3157303,Машини,Флекс Bosch GWS2200,,1.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:58 през “Складове и Стоки”,
1752,16,1,3157303,Машини,Флекс Bosch GWS9-125S,911061887,0.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:59 през “Складове и Стоки”,
1752,17,1,3157303,Машини,Флекс Bosch GWS9-125S,,1.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:59 през “Складове и Стоки”,
1752,18,1,3157303,Машини,Флекс Bosch GWS17-125S,323001071,0.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:59 през “Складове и Стоки”,
1752,19,1,3157303,Машини,Флекс Bosch GWS17-125S,,1.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:59 през “Складове и Стоки”,
1752,20,1,3157303,Машини,Флекс Bosch GWS9-125S 0,123061469,0.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:59 през “Складове и Стоки”,
1752,21,1,3157303,Машини,Флекс Bosch GWS9-125S 0,,1.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 14:59 през “Складове и Стоки”,
1752,22,1,3157303,Машини,Циркуляр Metabo KGS305M,19305000,0.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 15:00 през “Складове и Стоки”,
1752,23,1,3157303,Машини,Циркуляр Metabo KGS305M,,1.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 15:00 през “Складове и Стоки”,
1752,24,1,3157303,Машини,Ексцентършлайф Bosch GEX 125-1 AE,327001725,0.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 15:00 през “Складове и Стоки”,
1752,25,1,3157303,Машини,Ексцентършлайф Bosch GEX 125-1 AE,,1.0,0.0,1.0,0.0,Y,0.0,L,0.0,L,в 15:00 през “Складове и Стоки”,
